                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0918,                 1.6497,                0.88761,                0.48363,                0.34783,                0.33064,                0.24498,                 0.8362,                 1.0991,                0.84521,               0.070769,              0.0032479,              0.0032479
                      1,                 1.1797,                 1.1597,                0.87726,                0.72091,                0.50416,                0.50799,                0.32136,                 1.1852,                    1.4,                0.87877,               0.040715,              0.0065269,              0.0065269
                      2,                 1.5242,                 1.3588,                0.95554,                0.73663,                0.51363,                0.59629,                 0.3637,                 1.0095,                 1.4159,                0.87015,               0.010606,              0.0097509,              0.0097509
                      3,                 1.4404,                 1.1913,                 0.9293,                0.60433,                0.56973,                 0.6545,                 0.3485,                 1.2925,                0.84141,                0.90802,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.3405,                0.92841,                0.91967,                0.80858,                0.73343,                0.76443,                0.42624,                  1.146,                 1.0814,                0.89044,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3242,                 0.7839,                0.92589,                0.87596,                0.71135,                0.80027,                0.47726,                 1.0145,                0.68676,                0.88152,                0.00967,                0.00967,                0.00967
                      6,                  1.238,                0.72383,                0.91357,                0.81282,                0.73662,                0.78811,                0.49105,                0.99668,                0.58474,                0.87684,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.2058,                0.67174,                0.90244,                0.77967,                0.74315,                0.78747,                0.48653,                0.94551,                0.59103,                0.88848,               0.009505,               0.009505,               0.009505
                      8,                 1.1721,                0.62312,                0.89339,                0.91167,                0.73584,                0.81814,                 0.5153,                0.96979,                0.56274,                0.87296,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.1034,                0.59492,                0.88526,                0.90269,                0.69365,                0.78379,                0.51251,                0.88681,                0.53222,                0.86213,                0.00934,                0.00934,                0.00934
                     10,                 1.0639,                0.57007,                0.88114,                0.83063,                 0.7754,                0.81801,                 0.5404,                0.95767,                0.56159,                 0.8658,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.0266,                0.55928,                 0.8736,                0.91999,                0.73914,                0.81435,                0.54526,                0.92287,                0.51873,                0.86716,               0.009175,               0.009175,               0.009175
                     12,                 1.0143,                0.53427,                0.86626,                0.84395,                0.71859,                 0.7916,                0.53114,                0.98452,                0.53906,                0.86973,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.0094,                0.52093,                0.85762,                0.84779,                0.67372,                0.76698,                0.51887,                0.95672,                0.51118,                0.86483,                0.00901,                0.00901,                0.00901
                     14,                 1.0047,                0.51455,                0.86018,                0.91392,                0.72483,                0.80934,                0.55442,                 0.8626,                0.48252,                0.85841,              0.0089275,              0.0089275,              0.0089275
                     15,                0.99161,                0.50438,                0.85689,                 0.9518,                0.73496,                0.81037,                0.55282,                0.85678,                0.49432,                0.84195,               0.008845,               0.008845,               0.008845
                     16,                 0.9405,                0.49801,                0.85523,                0.88988,                 0.7744,                0.82459,                0.57556,                0.83291,                0.46153,                0.84444,              0.0087625,              0.0087625,              0.0087625
                     17,                0.93937,                0.48734,                0.85169,                0.91853,                0.76463,                0.81936,                0.58812,                  0.798,                0.45193,                0.84218,                0.00868,                0.00868,                0.00868
                     18,                0.91242,                0.47763,                0.84795,                0.91432,                0.75449,                0.80896,                0.56874,                0.85997,                0.47403,                0.84482,              0.0085975,              0.0085975,              0.0085975
                     19,                0.91808,                0.47215,                0.84319,                0.92021,                0.73581,                0.82766,                0.55519,                0.85458,                0.46183,                0.84421,               0.008515,               0.008515,               0.008515
                     20,                 0.9121,                0.47688,                0.84363,                0.90364,                0.73805,                0.80601,                0.57049,                0.82667,                0.45638,                0.84707,              0.0084325,              0.0084325,              0.0084325
                     21,                0.90629,                0.46999,                0.84606,                0.88349,                0.77683,                0.82265,                0.58657,                0.79189,                0.44757,                0.83999,                0.00835,                0.00835,                0.00835
                     22,                0.88154,                0.45517,                0.84055,                0.81951,                0.79504,                0.82153,                0.58977,                0.73962,                0.43828,                0.84253,              0.0082675,              0.0082675,              0.0082675
                     23,                0.87673,                0.45485,                0.84036,                0.88598,                 0.7363,                0.80845,                0.57391,                0.78105,                0.44906,                0.84702,               0.008185,               0.008185,               0.008185
                     24,                0.88197,                0.45912,                0.83503,                0.95085,                0.75753,                0.81911,                0.58463,                0.79999,                0.45247,                0.84113,              0.0081025,              0.0081025,              0.0081025
                     25,                0.85964,                0.44212,                0.83849,                0.96574,                0.74609,                0.81837,                0.58812,                0.78719,                0.43874,                0.84992,                0.00802,                0.00802,                0.00802
                     26,                0.87256,                 0.4417,                0.83398,                 0.8763,                0.72759,                 0.8075,                0.56614,                  0.809,                0.45484,                0.84705,              0.0079375,              0.0079375,              0.0079375
                     27,                0.84908,                0.43754,                0.83553,                0.82383,                0.79627,                 0.8218,                0.59989,                0.75069,                0.44833,                0.83471,               0.007855,               0.007855,               0.007855
                     28,                0.82038,                0.43192,                0.83249,                0.93146,                0.73403,                 0.8151,                0.59292,                0.76482,                0.45585,                 0.8353,              0.0077725,              0.0077725,              0.0077725
                     29,                0.82157,                0.42991,                  0.832,                0.86189,                0.78049,                 0.8329,                0.59561,                0.74877,                0.41664,                0.83566,                0.00769,                0.00769,                0.00769
                     30,                0.82714,                0.43101,                0.83054,                0.88125,                0.75327,                0.82679,                0.61252,                0.70849,                0.41577,                0.83534,              0.0076075,              0.0076075,              0.0076075
                     31,                0.81964,                0.42351,                0.83196,                0.77568,                0.78485,                0.81936,                0.59021,                0.74991,                0.43415,                 0.8436,               0.007525,               0.007525,               0.007525
                     32,                0.81567,                0.41847,                0.83057,                0.85848,                0.76567,                0.81825,                0.60475,                0.78016,                 0.4243,                0.83814,              0.0074425,              0.0074425,              0.0074425
                     33,                0.80917,                0.41615,                0.82745,                0.90572,                0.76428,                0.81404,                0.59636,                0.74736,                0.41531,                0.83779,                0.00736,                0.00736,                0.00736
                     34,                 0.8058,                0.41452,                0.82509,                0.90842,                0.76058,                0.82135,                0.60118,                0.75964,                0.43056,                0.84011,              0.0072775,              0.0072775,              0.0072775
                     35,                0.77837,                0.40615,                0.82434,                0.84948,                0.78908,                0.82832,                 0.6229,                0.71476,                0.41347,                0.83708,               0.007195,               0.007195,               0.007195
                     36,                  0.782,                0.40476,                 0.8259,                0.94205,                0.73718,                0.82756,                0.63221,                0.73579,                0.41646,                0.83541,              0.0071125,              0.0071125,              0.0071125
                     37,                0.78493,                0.40822,                0.82669,                0.87078,                0.77635,                0.84043,                0.62015,                0.72885,                0.42187,                0.83338,                0.00703,                0.00703,                0.00703
                     38,                0.77454,                0.40409,                0.82581,                0.92126,                0.75257,                0.83658,                0.60957,                0.72724,                0.40593,                0.83847,              0.0069475,              0.0069475,              0.0069475
                     39,                0.77506,                0.40086,                0.82579,                 0.9324,                0.78741,                0.85598,                0.62133,                0.74026,                0.41514,                0.83862,               0.006865,               0.006865,               0.006865
                     40,                0.74949,                0.39251,                0.82156,                0.92739,                0.80949,                0.85257,                 0.6241,                0.74473,                0.40725,                0.83239,              0.0067825,              0.0067825,              0.0067825
                     41,                0.76913,                0.39634,                0.81832,                0.88103,                0.80864,                0.85902,                0.62235,                 0.7326,                0.41238,                0.83345,                 0.0067,                 0.0067,                 0.0067
                     42,                0.74117,                0.39002,                0.81896,                0.85161,                0.78118,                0.82884,                0.61193,                0.74559,                0.40812,                0.83515,              0.0066175,              0.0066175,              0.0066175
                     43,                0.75389,                0.39211,                0.81986,                0.85746,                0.78772,                0.83979,                0.61803,                0.73355,                0.39328,                0.83251,               0.006535,               0.006535,               0.006535
                     44,                0.74623,                0.38726,                0.81727,                0.82252,                0.78438,                 0.8349,                0.61378,                 0.7188,                0.38553,                0.83337,              0.0064525,              0.0064525,              0.0064525
                     45,                0.74373,                0.38398,                0.81836,                0.83976,                0.80258,                 0.8436,                0.61344,                0.73726,                 0.4069,                0.83922,                0.00637,                0.00637,                0.00637
                     46,                0.72934,                0.38404,                0.82055,                0.83935,                0.81035,                0.85212,                0.61951,                 0.7219,                0.40005,                0.83039,              0.0062875,              0.0062875,              0.0062875
                     47,                0.72397,                0.37372,                0.81484,                0.88115,                0.80513,                0.84788,                  0.635,                0.72839,                0.40126,                0.83298,               0.006205,               0.006205,               0.006205
                     48,                0.71888,                0.37475,                0.81611,                0.87756,                0.79841,                0.85202,                0.62975,                0.72123,                0.39841,                0.83411,              0.0061225,              0.0061225,              0.0061225
                     49,                0.72389,                0.37679,                0.81856,                0.86102,                0.83683,                0.87099,                0.64614,                0.70568,                0.37435,                0.83397,                0.00604,                0.00604,                0.00604
                     50,                 0.7121,                 0.3714,                0.81737,                0.87071,                 0.8248,                0.85687,                0.64291,                0.70887,                0.38266,                0.83295,              0.0059575,              0.0059575,              0.0059575
                     51,                0.70424,                0.36501,                0.81364,                0.88564,                0.78829,                0.85209,                0.62699,                0.71429,                  0.389,                0.83505,               0.005875,               0.005875,               0.005875
                     52,                0.71933,                0.37258,                0.81292,                0.88076,                0.80439,                0.85612,                0.62945,                0.71039,                0.38707,                0.83292,              0.0057925,              0.0057925,              0.0057925
                     53,                0.69661,                0.36397,                0.81045,                0.86294,                0.79689,                0.83981,                0.61799,                0.71479,                0.38311,                0.83501,                0.00571,                0.00571,                0.00571
                     54,                0.68765,                0.36141,                0.81091,                0.85956,                0.80659,                0.84181,                0.61818,                0.71739,                0.37241,                0.83537,              0.0056275,              0.0056275,              0.0056275
                     55,                0.68329,                0.35423,                0.80853,                0.88703,                 0.8025,                0.84149,                0.63223,                0.69493,                0.36606,                0.82654,               0.005545,               0.005545,               0.005545
                     56,                0.70603,                0.36561,                0.81063,                0.89415,                0.78318,                0.85598,                0.62077,                0.68825,                0.37618,                0.83104,              0.0054625,              0.0054625,              0.0054625
                     57,                0.68266,                0.35355,                0.80849,                0.89108,                0.77456,                 0.8234,                0.61641,                0.69706,                 0.3833,                0.83136,                0.00538,                0.00538,                0.00538
                     58,                0.66288,                0.35016,                0.81019,                0.85994,                0.80659,                0.83814,                0.61658,                0.68943,                0.37538,                 0.8337,              0.0052975,              0.0052975,              0.0052975
                     59,                0.67502,                0.34968,                0.80915,                0.90872,                0.77905,                0.83556,                0.61737,                0.71645,                0.37451,                0.83672,               0.005215,               0.005215,               0.005215
                     60,                0.66592,                0.34982,                0.80682,                0.83626,                0.81829,                0.85066,                0.62535,                0.72259,                0.37604,                0.83904,              0.0051325,              0.0051325,              0.0051325
                     61,                0.65334,                0.34444,                0.80615,                0.85494,                 0.8288,                0.86251,                0.64815,                0.69775,                0.35518,                0.83279,                0.00505,                0.00505,                0.00505
                     62,                0.67173,                0.34989,                0.80658,                0.91207,                0.80165,                 0.8526,                0.63219,                0.70327,                0.36557,                0.83309,              0.0049675,              0.0049675,              0.0049675
                     63,                0.66151,                0.34124,                0.81094,                0.85222,                0.79569,                0.84246,                0.62699,                0.70938,                0.36617,                0.83836,               0.004885,               0.004885,               0.004885
                     64,                0.65304,                0.34675,                 0.8058,                0.88614,                0.79021,                0.85045,                0.64269,                 0.7158,                0.37141,                0.83432,              0.0048025,              0.0048025,              0.0048025
                     65,                 0.6475,                0.34252,                0.80748,                0.86879,                0.81081,                0.85297,                0.64468,                0.70348,                0.37496,                0.83489,                0.00472,                0.00472,                0.00472
                     66,                0.63543,                0.33684,                0.80517,                0.93245,                0.78089,                0.85348,                0.64224,                0.70387,                0.36198,                 0.8335,              0.0046375,              0.0046375,              0.0046375
                     67,                0.63621,                0.33565,                0.80434,                0.84258,                0.81104,                0.85412,                0.64359,                0.69342,                0.37005,                0.83037,               0.004555,               0.004555,               0.004555
                     68,                0.63705,                0.33221,                0.80453,                0.85041,                0.81304,                0.86442,                0.64756,                0.69694,                0.37028,                0.83091,              0.0044725,              0.0044725,              0.0044725
                     69,                0.63888,                0.33594,                0.80079,                0.86495,                0.78923,                0.84537,                0.62579,                0.68887,                0.36417,                0.83151,                0.00439,                0.00439,                0.00439
                     70,                0.63258,                0.33331,                0.80333,                0.87782,                 0.8044,                0.84662,                0.62539,                0.71145,                0.36207,                0.83468,              0.0043075,              0.0043075,              0.0043075
                     71,                0.62186,                0.32874,                0.79864,                0.90048,                0.80355,                0.84732,                0.62465,                0.70907,                0.37376,                0.83268,               0.004225,               0.004225,               0.004225
                     72,                 0.6345,                0.33248,                0.80194,                0.89846,                0.80371,                0.83922,                0.61876,                0.71054,                0.37223,                0.83484,              0.0041425,              0.0041425,              0.0041425
                     73,                0.61156,                0.32248,                0.80207,                0.94967,                 0.7872,                0.85717,                0.63167,                0.70863,                0.36141,                0.83391,                0.00406,                0.00406,                0.00406
                     74,                 0.6195,                0.32922,                0.80068,                0.90899,                0.79622,                0.85191,                0.63368,                0.70504,                0.36105,                0.83404,              0.0039775,              0.0039775,              0.0039775
                     75,                0.59516,                0.31868,                0.80138,                0.85781,                0.80651,                0.84966,                0.64483,                0.69961,                0.36508,                0.83421,               0.003895,               0.003895,               0.003895
                     76,                0.60428,                0.32176,                0.80059,                 0.8633,                 0.8033,                 0.8351,                0.62576,                0.70801,                0.35821,                0.83277,              0.0038125,              0.0038125,              0.0038125
                     77,                0.59368,                0.31609,                0.79949,                0.87342,                0.78067,                0.83211,                0.61807,                0.70935,                0.36985,                0.83375,                0.00373,                0.00373,                0.00373
                     78,                 0.5896,                0.31322,                0.79921,                0.84899,                 0.8289,                 0.8566,                0.63432,                0.70827,                0.35493,                0.83193,              0.0036475,              0.0036475,              0.0036475
                     79,                 0.6034,                0.31647,                0.80008,                0.91264,                0.81094,                0.86913,                0.64436,                0.70053,                0.35269,                0.82859,               0.003565,               0.003565,               0.003565
                     80,                0.60171,                0.31557,                0.79736,                0.94697,                0.80173,                0.86407,                 0.6422,                0.69059,                0.36878,                0.82958,              0.0034825,              0.0034825,              0.0034825
                     81,                0.58677,                0.31339,                0.79482,                0.88898,                0.82089,                0.87692,                0.65254,                0.69221,                0.35141,                0.83327,                 0.0034,                 0.0034,                 0.0034
                     82,                0.57484,                0.30701,                0.79539,                0.85629,                 0.8427,                0.86876,                 0.6405,                 0.6983,                0.34759,                0.83211,              0.0033175,              0.0033175,              0.0033175
                     83,                 0.5886,                0.31052,                0.79563,                0.93326,                0.80683,                0.87277,                0.64657,                0.70072,                0.33853,                0.83241,               0.003235,               0.003235,               0.003235
                     84,                0.57551,                0.30668,                0.79567,                0.92483,                0.81394,                0.86153,                0.64198,                0.70429,                0.35653,                0.83323,              0.0031525,              0.0031525,              0.0031525
                     85,                0.57413,                0.30747,                 0.7986,                0.90549,                0.80606,                0.86367,                0.63992,                0.69434,                0.35123,                0.83175,                0.00307,                0.00307,                0.00307
                     86,                0.56014,                0.30062,                0.79427,                0.92641,                0.79061,                 0.8578,                0.63838,                0.70941,                0.36653,                0.83311,              0.0029875,              0.0029875,              0.0029875
                     87,                0.56876,                 0.3026,                0.79467,                0.89876,                0.79962,                 0.8561,                0.64155,                0.69255,                0.36045,                0.83136,               0.002905,               0.002905,               0.002905
                     88,                0.56041,                0.30248,                0.79343,                0.88179,                0.81181,                 0.8703,                0.64543,                0.69722,                0.35662,                0.83156,              0.0028225,              0.0028225,              0.0028225
                     89,                0.56141,                0.29876,                0.79294,                0.93185,                0.78197,                0.86441,                 0.6461,                0.69566,                0.34765,                0.82938,                0.00274,                0.00274,                0.00274
                     90,                0.54599,                0.29311,                0.79348,                 0.9312,                0.78801,                  0.857,                0.64355,                0.69436,                 0.3587,                0.83019,              0.0026575,              0.0026575,              0.0026575
                     91,                0.55755,                0.29746,                0.79133,                0.88625,                0.80522,                0.86265,                0.63392,                0.70506,                 0.3545,                0.83172,               0.002575,               0.002575,               0.002575
                     92,                0.54313,                0.28878,                0.79275,                0.87708,                0.80403,                0.86057,                0.63735,                0.70114,                0.34318,                0.83155,              0.0024925,              0.0024925,              0.0024925
                     93,                0.54324,                0.29091,                0.79114,                0.92656,                0.80778,                0.86413,                0.63789,                0.70211,                0.33473,                0.83182,                0.00241,                0.00241,                0.00241
                     94,                0.53364,                0.28628,                0.79163,                0.94453,                0.78983,                0.85998,                0.64398,                0.69927,                0.33771,                0.83035,              0.0023275,              0.0023275,              0.0023275
                     95,                0.53827,                0.28718,                0.79129,                0.87517,                0.80642,                0.85921,                0.63282,                0.69212,                0.34852,                0.82997,               0.002245,               0.002245,               0.002245
                     96,                0.53046,                0.28461,                0.79068,                0.89551,                0.79552,                 0.8662,                0.63732,                0.69551,                0.34942,                0.83052,              0.0021625,              0.0021625,              0.0021625
                     97,                0.53739,                0.28652,                0.79034,                0.86711,                0.79953,                0.86625,                0.63617,                0.69395,                0.33905,                 0.8309,                0.00208,                0.00208,                0.00208
                     98,                0.53555,                0.28443,                0.79117,                0.86379,                0.80746,                0.85179,                0.63612,                0.69319,                0.34309,                0.83213,              0.0019975,              0.0019975,              0.0019975
                     99,                0.51391,                0.27531,                0.79252,                0.91582,                0.80111,                 0.8547,                0.63045,                0.69608,                0.34689,                0.83191,               0.001915,               0.001915,               0.001915
                    100,                0.51635,                0.27824,                 0.7903,                0.93295,                0.78385,                0.85194,                0.63005,                0.70162,                0.34169,                0.83331,              0.0018325,              0.0018325,              0.0018325
                    101,                0.52629,                 0.2804,                0.79028,                0.94828,                 0.7935,                0.85919,                 0.6324,                0.69945,                0.33894,                0.83307,                0.00175,                0.00175,                0.00175
                    102,                 0.5283,                0.27924,                0.78964,                0.88161,                0.80188,                0.86198,                0.63652,                0.70561,                 0.3292,                 0.8335,              0.0016675,              0.0016675,              0.0016675
                    103,                0.50345,                0.27224,                0.78636,                0.90224,                0.81021,                0.86886,                0.64756,                0.70683,                0.32847,                0.83091,               0.001585,               0.001585,               0.001585
                    104,                0.50555,                0.27111,                0.78744,                0.90882,                 0.8052,                0.87975,                0.64833,                0.70513,                0.33339,                0.82972,              0.0015025,              0.0015025,              0.0015025
                    105,                0.49334,                0.26847,                0.78929,                0.94015,                0.79207,                0.87781,                 0.6468,                0.70608,                 0.3408,                0.83206,                0.00142,                0.00142,                0.00142
                    106,                0.49579,                0.26761,                0.78817,                0.90508,                0.79479,                0.87869,                0.65343,                0.70511,                0.33512,                0.83272,              0.0013375,              0.0013375,              0.0013375
                    107,                0.49419,                0.26778,                0.78746,                0.92106,                0.79874,                0.87579,                0.65247,                0.70327,                0.34856,                0.83244,               0.001255,               0.001255,               0.001255
                    108,                0.48976,                0.26516,                0.78676,                0.91491,                0.79694,                0.87341,                0.64602,                0.70273,                0.35166,                0.83278,              0.0011725,              0.0011725,              0.0011725
                    109,                0.48121,                0.26038,                0.78449,                0.88123,                0.81992,                0.87499,                0.64551,                0.70676,                0.34463,                0.83594,                0.00109,                0.00109,                0.00109
                    110,                0.44823,                0.24925,                0.78559,                0.88875,                0.82766,                 0.8719,                0.63995,                0.71211,                 0.3528,                 0.8345,              0.0010075,              0.0010075,              0.0010075
                    111,                0.43963,                0.24382,                0.78232,                0.89037,                0.81195,                0.87233,                0.64454,                0.70452,                0.34873,                0.83333,               0.000925,               0.000925,               0.000925
                    112,                0.44239,                0.24253,                0.78288,                0.92153,                0.81143,                0.86828,                0.65017,                 0.7047,                0.33711,                0.83276,              0.0008425,              0.0008425,              0.0008425
                    113,                0.42644,                0.23493,                0.78162,                0.94155,                 0.7992,                0.87524,                0.64722,                 0.7082,                 0.3458,                0.83306,                0.00076,                0.00076,                0.00076
                    114,                0.42388,                0.23404,                 0.7814,                 0.9322,                0.80465,                0.87615,                0.64684,                 0.7032,                 0.3462,                0.83301,              0.0006775,              0.0006775,              0.0006775
                    115,                0.41456,                0.23135,                0.78254,                0.87996,                0.81762,                0.87398,                0.65048,                0.70181,                0.34272,                 0.8324,               0.000595,               0.000595,               0.000595
                    116,                0.41734,                0.23162,                0.78012,                0.90744,                0.80987,                0.86781,                0.64704,                0.70266,                0.33761,                0.83318,              0.0005125,              0.0005125,              0.0005125
                    117,                0.41461,                 0.2294,                0.78113,                0.91047,                0.80897,                0.87243,                0.64548,                0.70338,                0.34451,                0.83299,                0.00043,                0.00043,                0.00043
                    118,                0.41491,                0.22968,                0.77964,                0.91495,                0.81048,                0.86173,                0.64536,                0.69927,                0.33832,                0.83353,              0.0003475,              0.0003475,              0.0003475
                    119,                0.40367,                0.22756,                0.77995,                0.91402,                0.81417,                0.86328,                0.64508,                0.70317,                0.33959,                0.83273,               0.000265,               0.000265,               0.000265
